epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.3988,0.98439,2.38311,1.633,0.33551,0.63644,0.41672,0.31711,0.70929,1.7535,1.29497,0.000455875,0.000455875,0.000455875
43,51.4293,1.02772,2.64118,1.66753,0.2342,0.67874,0.35942,0.29449,0.6628,1.8001,1.19465,0.00045175,0.00045175,0.00045175
44,52.4902,0.86473,2.30722,1.50536,0.23617,0.55492,0.35171,0.28095,0.7204,1.99568,1.25589,0.000447625,0.000447625,0.000447625
45,53.48,0.90808,2.31121,1.58071,0.23617,0.55492,0.35171,0.28095,0.7204,1.99568,1.25589,0.0004435,0.0004435,0.0004435
46,54.7697,0.93444,2.32975,1.56859,0.23795,0.57547,0.33147,0.25185,0.79251,1.97205,1.35142,0.000439375,0.000439375,0.000439375
47,56.6937,0.8862,2.37789,1.52048,0.22576,0.5,0.37062,0.26064,0.88886,1.78993,1.47403,0.00043525,0.00043525,0.00043525
48,57.9715,0.90956,2.2984,1.52345,0.32566,0.56736,0.40564,0.28127,0.92579,1.77956,1.5217,0.000431125,0.000431125,0.000431125
49,59.0313,0.99821,2.2246,1.58885,0.32566,0.56736,0.40564,0.28127,0.92579,1.77956,1.5217,0.000427,0.000427,0.000427
50,60.0923,0.94389,2.20917,1.57269,0.5707,0.5838,0.5166,0.36647,0.99274,1.93086,1.54102,0.000422875,0.000422875,0.000422875
51,61.1768,0.88349,2.22372,1.53297,0.39688,0.52796,0.5178,0.33435,1.26638,2.22285,1.69628,0.00041875,0.00041875,0.00041875
52,62.2772,0.92528,2.28171,1.59665,0.38483,0.72616,0.55998,0.39307,1.08874,2.19946,1.51393,0.000414625,0.000414625,0.000414625
53,63.3372,0.89808,2.22408,1.56592,0.38483,0.72616,0.55998,0.39307,1.08874,2.19946,1.51393,0.0004105,0.0004105,0.0004105
54,64.4001,0.90263,2.25627,1.50594,0.46848,0.60144,0.63751,0.49891,0.88384,1.70931,1.35061,0.000406375,0.000406375,0.000406375
55,65.4753,0.88396,2.21634,1.53899,0.47037,0.66693,0.67246,0.54779,0.75208,1.64218,1.26894,0.00040225,0.00040225,0.00040225
56,66.5667,0.81546,2.14804,1.45465,0.55298,0.57924,0.66894,0.52826,0.77171,1.57798,1.34765,0.000398125,0.000398125,0.000398125
57,67.7277,0.95978,2.13312,1.55006,0.55298,0.57924,0.66894,0.52826,0.77171,1.57798,1.34765,0.000394,0.000394,0.000394
58,69.3231,0.88993,2.18361,1.50754,0.4367,0.7526,0.66359,0.53834,0.71941,1.45639,1.24597,0.000389875,0.000389875,0.000389875
59,70.5785,0.90311,2.12633,1.536,0.44174,0.76432,0.64572,0.52723,0.68801,1.39009,1.1734,0.00038575,0.00038575,0.00038575
60,71.6294,0.86733,2.08297,1.54438,0.48524,0.76279,0.71033,0.60492,0.63386,1.339,1.11467,0.000381625,0.000381625,0.000381625
61,72.6969,0.85111,2.07224,1.49399,0.48524,0.76279,0.71033,0.60492,0.63386,1.339,1.11467,0.0003775,0.0003775,0.0003775
62,73.7468,0.92777,2.11287,1.56741,0.50451,0.76125,0.73957,0.62102,0.59779,1.27078,1.10202,0.000373375,0.000373375,0.000373375
63,74.809,0.91729,2.09675,1.55267,0.45197,0.81876,0.6884,0.57903,0.64255,1.30021,1.14185,0.00036925,0.00036925,0.00036925
64,75.8653,0.81353,2.0405,1.45948,0.43503,0.8284,0.62985,0.50901,0.72404,1.38747,1.2447,0.000365125,0.000365125,0.000365125
